date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,price,discount,weather_condition,promotion,competitor_pricing,seasonality,epidemic,demand,month,day_name,year,day,day_of_week,week_of_year,quarter,is_weekend,is_holiday,month_sin,month_cos,dow_sin,dow_cos,demand_lag_1,demand_lag_7,demand_lag_14,demand_lag_30,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_std_30,expanding_mean,demand_change_1,demand_change_7,price_diff,discounted_price,inventory_sales_ratio,catboost_prediction,lightgbm_prediction,ensemble_prediction,residual,lof_anomaly,z_score,zscore_anomaly,final_anomaly
2022-03-06,4,0,3,1,26,26,0,8.0,25,1,1,7.99,1,0,51,3,3,2022,6,6,9,1,1,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,219.0,188.0,180.0,210.0,169.42857142857142,153.78571428571428,129.0,43.725877703625095,57.332063605293136,123.328125,-168.0,-137.0,0.009999999999999787,6.0,0.9629629629629629,61.31291995923629,62.9350802270623,61.9617840663667,-10.961784066366697,1,6.216659209664761,1,1
2022-12-08,4,0,3,1,376,262,473,17.16,15,3,1,16.07,3,0,278,12,4,2022,8,3,49,4,0,0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,66.0,88.0,114.0,106.0,120.42857142857143,116.64285714285714,120.86666666666666,46.053798767879805,37.881606248336574,118.60703812316716,212.0,190.0,1.0899999999999999,14.586,1.429657794676806,292.63003025421483,281.51127233445897,288.18252708631246,-10.182527086312462,1,5.777002845348348,1,1
2023-06-21,4,0,3,1,404,112,0,11.26,10,1,0,10.83,2,0,95,6,6,2023,21,2,25,2,0,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,186.0,270.0,145.0,119.0,189.71428571428572,169.28571428571428,152.46666666666667,41.92339953500192,43.446148460961936,117.94029850746269,-91.0,-175.0,0.4299999999999997,10.134,3.575221238938053,101.84639221931545,103.50710398902638,102.51067692719982,-7.510676927199825,1,4.269546438769952,1,1
2023-07-06,4,0,3,1,579,117,0,12.09,0,1,0,14.08,2,0,100,7,4,2023,6,3,27,3,0,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,214.0,250.0,205.0,128.0,169.71428571428572,155.21428571428572,158.86666666666667,80.21162485515889,55.40803709492546,118.84573502722323,-114.0,-150.0,-1.9900000000000002,12.09,4.906779661016949,107.35381222248574,108.22392230219943,107.70185625437122,-7.701856254371222,1,4.377409711179504,1,1
2023-08-02,4,0,3,1,17,17,0,12.35,20,0,1,14.3,2,0,184,8,6,2023,2,2,31,3,0,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,182.0,279.0,133.0,102.0,168.57142857142858,149.0,149.03333333333333,60.862843462047486,49.602199154065076,120.05017301038062,2.0,-95.0,-1.950000000000001,9.88,0.9444444444444444,161.38155228414394,155.3524405307073,158.96990758276928,25.03009241723072,1,14.089937926754207,1,1
2023-08-12,4,0,3,1,160,160,0,12.4,25,1,1,11.79,2,0,191,8,2,2023,12,5,32,3,1,1,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,199.0,285.0,143.0,162.0,179.85714285714286,161.92857142857142,152.93333333333334,55.408869841775605,48.822644077442575,120.78231292517007,-8.0,-94.0,0.6100000000000012,9.3,0.9937888198757764,184.15757925710298,183.82019928772266,184.02262726935083,6.977372730649165,1,3.904603298281109,1,1
2023-12-10,4,0,3,1,325,212,345,13.85,15,2,1,16.64,3,0,206,12,3,2023,10,6,49,4,1,1,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,6.0,80.0,97.0,86.0,122.0,121.85714285714286,114.66666666666667,62.88349014911097,39.50061835686498,120.11299435028249,200.0,126.0,-2.790000000000001,11.772499999999999,1.5258215962441315,214.47469842929712,207.37488892523683,211.634774627673,-5.634774627673011,1,3.2111633816616854,1,1
2024-01-24,4,0,3,1,324,253,392,15.75,10,0,1,18.42,3,0,236,1,6,2024,24,2,4,1,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,49.0,31.0,53.0,166.0,105.28571428571429,110.85714285714286,102.43333333333334,52.39820062341304,40.20523497680637,119.57503320053121,187.0,205.0,-2.6700000000000017,14.175,1.2755905511811023,241.93717606881046,257.0755429713716,247.9925228298349,-11.992522829834911,1,6.798201459404878,1,1
2022-02-18,4,3,3,1,105,105,81,7.18,5,3,0,8.35,3,0,92,2,0,2022,18,4,7,1,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,111.0,243.0,109.0,133.0,122.85714285714286,128.35714285714286,115.36666666666666,74.22360040541592,44.84954413587057,115.75,-19.0,-151.0,-1.17,6.821,0.9905660377358491,97.72028305063338,97.33068504181676,97.56444384710673,-5.56444384710673,1,3.171482793518408,1,1
2022-06-27,4,3,3,1,174,146,189,7.93,20,1,1,8.66,2,0,185,6,1,2022,27,0,26,2,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,143.0,312.0,135.0,163.0,183.14285714285714,177.42857142857142,162.46666666666667,63.26776054049584,57.811067627487105,122.24293785310735,42.0,-127.0,-0.7300000000000004,6.344,1.183673469387755,178.28052963780786,180.2326390349391,179.06137339666034,5.938626603339657,1,3.3185432982168597,1,1
