date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,price,discount,weather_condition,promotion,competitor_pricing,seasonality,epidemic,demand,month,day_name,year,day,day_of_week,week_of_year,quarter,is_weekend,is_holiday,month_sin,month_cos,dow_sin,dow_cos,demand_lag_1,demand_lag_7,demand_lag_14,demand_lag_30,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_std_30,expanding_mean,demand_change_1,demand_change_7,price_diff,discounted_price,inventory_sales_ratio,catboost_prediction,lightgbm_prediction,ensemble_prediction,residual,lof_anomaly,z_score,zscore_anomaly,final_anomaly
2022-01-31,4,0,3,1,221,82,217,11.78,5,0,0,14.01,3,0,108,1,1,2022,31,0,5,1,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,64.0,128.0,144.0,84.0,114.14285714285714,114.85714285714286,119.0,41.103238199394795,37.380614559254994,119.0,44.0,-20.0,-2.2300000000000004,11.190999999999999,2.6626506024096384,107.98265568477866,108.15140768019477,108.05015648294511,-0.05015648294511266,0,0.0603248618249433,0,0
2022-02-01,4,0,3,1,139,115,0,12.55,5,2,0,11.59,3,0,111,2,5,2022,1,1,5,1,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,108.0,135.0,183.0,75.0,111.28571428571429,112.28571428571429,119.8,40.67232591379662,36.85891086758842,118.64516129032258,3.0,-24.0,0.9600000000000009,11.9225,1.1982758620689655,110.89845474426362,109.24703926716549,110.23788855342437,0.7621114465756307,0,0.39795626222614316,0,0
2022-02-02,4,0,3,1,241,135,348,11.9,15,0,1,13.1,3,0,148,2,6,2022,2,2,5,1,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,111.0,190.0,109.0,117.0,107.85714285714286,107.14285714285714,121.0,39.329499409597375,35.92424980619542,118.40625,37.0,-42.0,-1.1999999999999993,10.115,1.7720588235294117,147.95566751957367,146.14317609201078,147.23067094854852,0.7693290514514786,0,0.4020284309715124,0,0
2022-02-03,4,0,3,1,106,78,0,10.97,5,0,0,11.65,3,0,86,2,4,2022,3,3,5,1,0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,148.0,96.0,119.0,83.0,101.85714285714286,109.92857142857143,122.03333333333333,25.471739709127057,36.249597698917064,119.3030303030303,-62.0,-10.0,-0.6799999999999997,10.4215,1.3417721518987342,85.64884876042194,83.74329416984742,84.88662692419213,1.1133730758078713,0,0.5961378823912371,0,0
2022-02-04,4,0,3,1,376,148,381,15.61,10,2,1,14.64,3,0,210,2,0,2022,4,4,5,1,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,86.0,90.0,109.0,161.0,100.42857142857143,107.57142857142857,122.13333333333334,26.126979305289847,36.14218409648714,118.32352941176471,124.0,120.0,0.9699999999999989,14.049,2.523489932885906,207.02329890844828,209.91740162734163,208.18093999600563,1.819060003994366,0,0.9942860634578962,0,0
2022-02-05,4,0,3,1,228,135,0,12.76,0,3,0,13.53,3,0,117,2,2,2022,5,5,5,1,1,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,210.0,96.0,90.0,163.0,117.57142857142857,114.78571428571429,123.76666666666667,48.19355815478915,38.95681369585215,120.94285714285714,-93.0,21.0,-0.7699999999999996,12.76,1.6764705882352942,118.35434227757048,119.14654050215195,118.67122156740308,-1.6712215674030801,0,0.9749289007948148,0,0
2022-02-06,4,0,3,1,474,76,0,10.07,10,3,0,11.96,3,0,77,2,3,2022,6,6,5,1,1,0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,117.0,64.0,55.0,138.0,120.57142857142857,116.71428571428571,122.23333333333333,47.27175739930814,38.25836246953828,120.83333333333333,-40.0,13.0,-1.8900000000000006,9.063,6.1558441558441555,77.69415872255252,77.24867399750566,77.51596483253377,-0.5159648325337685,0,0.323133679314295,0,0
2022-02-07,4,0,3,1,398,74,0,10.19,5,2,0,12.23,3,0,65,2,1,2022,7,0,6,1,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,77.0,108.0,128.0,152.0,122.42857142857143,118.28571428571429,120.2,44.8733667961191,39.00521627361813,119.64864864864865,-12.0,-43.0,-2.040000000000001,9.680499999999999,5.306666666666667,65.9734953726896,66.71114063132708,66.2685534761446,-1.2685534761446036,0,0.7477437827139862,0,0
2022-02-08,4,0,3,1,324,48,0,10.13,5,2,0,8.64,3,0,50,2,5,2022,8,1,6,1,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,65.0,111.0,135.0,79.0,116.28571428571429,113.78571428571429,117.3,49.84547550752651,39.78576248548876,118.21052631578948,-15.0,-61.0,1.4900000000000002,9.6235,6.612244897959184,51.41949751456533,50.29910742215679,50.97134147760191,-0.9713414776019107,0,0.580056934786874,0,0
2022-02-09,4,0,3,1,276,155,237,13.99,0,3,0,16.22,3,0,148,2,6,2022,9,2,6,1,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,50.0,148.0,190.0,114.0,107.57142857142857,107.71428571428571,116.33333333333333,55.889346459043914,41.07968147253649,116.46153846153847,98.0,0.0,-2.2299999999999986,13.99,1.7692307692307692,149.31359123817796,146.98330481412785,148.38147666855792,-0.38147666855792295,0,0.24725553034590914,0,0
